t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
1.47,1.47,0,0,1.53707,-0.0199782,1.43208,-0.056022,-0.0509454
1.48,1.48,0,0,1.47793,-0.00562736,1.44197,-0.0565266,-0.0511096
1.49,1.49,0,0,1.49137,-0.0189298,1.45185,-0.0570322,-0.0511828
1.5,1.5,0,0,1.53311,0.00397698,1.50994,-0.0161231,-0.00712346
1.51,1.51,0,0,1.50201,-0.00805908,1.52034,-0.0161972,-0.00705487
1.52,1.52,0,0,1.55121,-0.0028426,1.53072,-0.0162706,-0.00698227
1.53,1.53,0,0,1.54958,-0.0567764,1.5411,-0.0163431,-0.00688303
1.54,1.54,0,0,1.53861,-0.00989744,1.55148,-0.0164145,-0.00693794
1.55,1.55,0,0,1.53333,0.0147538,1.56185,-0.0164865,-0.00699508
1.56,1.56,0,0,1.5424,0.0573241,1.57222,-0.0165591,-0.00679777
1.57,1.57,0,0,1.55653,0.0338026,1.58259,-0.0166296,-0.00680026
1.58,1.58,0,0,1.61896,0.0032304,1.59295,-0.0167002,-0.00678997
1.59,1.59,0,0,1.60293,0.00729923,1.60331,-0.0167705,-0.00670225
1.6,1.6,0,0,1.62826,0.0258029,1.6235,0.0119281,0.0225894
1.61,1.61,0,0,1.68547,-0.0496924,1.63395,0.0121641,0.0227774
1.62,1.62,0,0,1.63542,-0.00770431,1.64441,0.0124024,0.0225446
1.63,1.63,0,0,1.61278,-0.0139317,1.65487,0.0126383,0.0224035
1.64,1.64,0,0,1.69888,-0.0115518,1.66532,0.0128724,0.0226181
1.65,1.65,0,0,1.65774,0.0140735,1.67577,0.0131089,0.0227635
1.66,1.66,0,0,1.65958,-0.0114955,1.68623,0.0133468,0.0226908
1.67,1.67,0,0,1.65587,0.0322537,1.69668,0.013584,0.02263
1.68,1.68,0,0,1.73105,0.0414943,1.70713,0.0138206,0.0226595
1.69,1.69,0,0,1.67994,0.0724018,1.7176,0.0140577,0.0227326
1.7,1.7,0,0,1.68261,-0.000723146,1.69747,0.00416247,0.012905
1.71,1.71,0,0,1.70105,0.0649097,1.70765,0.00429385,0.0130797
1.72,1.72,0,0,1.71442,0.031283,1.71785,0.0044272,0.0130782
1.73,1.73,0,0,1.68891,-0.0142252,1.72803,0.00456039,0.0130938
1.74,1.74,0,0,1.73725,0.0150837,1.73821,0.00469367,0.0131456
1.75,1.75,0,0,1.84315,0.0104221,1.7484,0.00482756,0.01324
1.76,1.76,0,0,1.80529,0.0492151,1.75858,0.00496237,0.0132207
1.77,1.77,0,0,1.80739,-0.00380435,1.76875,0.00509679,0.013085
1.78,1.78,0,0,1.73843,0.0433293,1.77893,0.00523002,0.0129494
1.79,1.79,0,0,1.784,-0.0254257,1.78911,0.00536183,0.0128946
1.8,1.8,0,0,1.76025,0.0321916,1.77304,0.0234653,0.0307894
1.81,1.81,0,0,1.76145,0.0463801,1.78295,0.0237707,0.0308003
1.82,1.82,0,0,1.80226,-0.0585656,1.79286,0.0240761,0.0309194
1.83,1.83,0,0,1.7911,-0.0453779,1.8028,0.0243833,0.0308135
1.84,1.84,0,0,1.82597,0.0537343,1.81274,0.0246898,0.0308524
1.85,1.85,0,0,1.81288,0.0188775,1.82268,0.0249965,0.0308791
1.86,1.86,0,0,1.91915,-0.00639406,1.8326,0.0253031,0.0310621
1.87,1.87,0,0,1.88284,-0.0626367,1.84253,0.0256115,0.0309165
1.88,1.88,0,0,1.86625,-0.0178151,1.85246,0.0259185,0.0308578
1.89,1.89,0,0,1.9012,0.0152105,1.86239,0.0262251,0.0308284
1.9,1.9,0,0,1.92518,0.0544612,1.90783,0.0452787,0.0478692
1.91,1.91,0,0,1.89996,0.00618573,1.91809,0.0457702,0.0479838
1.92,1.92,0,0,1.91665,0.0230344,1.92836,0.0462634,0.0480745
1.93,1.93,0,0,1.88978,0.034933,1.93862,0.0467566,0.0480054
1.94,1.94,0,0,2.00637,0.0333596,1.94885,0.0472481,0.048135
1.95,1.95,0,0,1.96353,-0.0314702,1.95907,0.0477409,0.048136
1.96,1.96,0,0,1.96269,-0.0354418,1.96931,0.0482338,0.0481677
