t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
1.88,1.88,0,0,1.86625,-0.0178151,1.84949,0.0266304,0.036937
1.89,1.89,0,0,1.9012,0.0152105,1.85921,0.0269895,0.0369076
1.9,1.9,0,0,1.92518,0.0544612,1.90671,0.0455747,0.0540807
1.91,1.91,0,0,1.89996,0.00618573,1.91677,0.0461195,0.0541953
1.92,1.92,0,0,1.91665,0.0230344,1.92685,0.046666,0.054286
1.93,1.93,0,0,1.88978,0.034933,1.9369,0.0472124,0.054217
1.94,1.94,0,0,2.00637,0.0333596,1.94694,0.047757,0.0543465
1.95,1.95,0,0,1.96353,-0.0314702,1.95697,0.0483029,0.0543475
1.96,1.96,0,0,1.96269,-0.0354418,1.96701,0.0488489,0.0543792
1.97,1.97,0,0,1.99565,0.0293823,1.97706,0.0493957,0.0541848
1.98,1.98,0,0,1.9444,0.045922,1.98711,0.049941,0.0541931
1.99,1.99,0,0,2.00385,0.0704114,1.99716,0.050486,0.0541733
2,2,0,0,2.00763,-0.0143824,2.0075,0.00702891,0.010528
2.01,2.01,0,0,1.99379,0.0154062,2.01757,0.0071349,0.0106825
2.02,2.02,0,0,2.00615,0.03457,2.02762,0.00724233,0.0106898
2.03,2.03,0,0,2.04738,0.0348205,2.0377,0.00735008,0.0107535
2.04,2.04,0,0,1.99145,0.0112522,2.04778,0.00745848,0.0108014
2.05,2.05,0,0,2.0676,0.0204302,2.05787,0.00756739,0.0109111
2.06,2.06,0,0,2.05759,0.0327981,2.06794,0.00767734,0.0108718
2.07,2.07,0,0,2.08676,-0.0356984,2.07801,0.00778675,0.0108172
2.08,2.08,0,0,2.06147,0.0568948,2.08808,0.00789567,0.0106803
2.09,2.09,0,0,2.11044,-0.00820393,2.09815,0.00800324,0.0108184
2.1,2.1,0,0,2.04938,-0.0375937,2.06875,-0.022618,-0.0183039
2.11,2.11,0,0,2.09437,0.00616286,2.07846,-0.0227957,-0.0183084
2.12,2.12,0,0,2.1126,-0.0461411,2.08819,-0.0229738,-0.0182035
2.13,2.13,0,0,2.15605,-0.0538809,2.09791,-0.0231508,-0.0181757
2.14,2.14,0,0,2.17747,-0.00900282,2.10763,-0.0233274,-0.0182775
2.15,2.15,0,0,2.17596,0.0229229,2.11734,-0.0235049,-0.0182881
2.16,2.16,0,0,2.17276,0.0100697,2.12704,-0.0236824,-0.0183113
2.17,2.17,0,0,2.1353,-0.0461354,2.13674,-0.02386,-0.0183332
2.18,2.18,0,0,2.1858,-0.0028882,2.14645,-0.024038,-0.0183112
2.19,2.19,0,0,2.11455,0.000846078,2.15614,-0.0242154,-0.0181698
2.2,2.2,0,0,2.17891,0.013019,2.1746,0.000688601,0.00598421
2.21,2.21,0,0,2.21262,0.0164007,2.18437,0.000747053,0.00594955
2.22,2.22,0,0,2.1893,0.00905168,2.19411,0.00080504,0.00594816
2.23,2.23,0,0,2.22818,-0.0315508,2.20386,0.000863036,0.00606825
2.24,2.24,0,0,2.26177,-0.0137687,2.21361,0.000922208,0.00599165
2.25,2.25,0,0,2.23312,-0.0180475,2.22337,0.000980691,0.0058117
2.26,2.26,0,0,2.22308,-0.00781021,2.23312,0.00103732,0.00592142
2.27,2.27,0,0,2.23177,0.0187823,2.24287,0.00109507,0.0060945
2.28,2.28,0,0,2.29412,0.0219034,2.25263,0.00115452,0.00601195
2.29,2.29,0,0,2.23168,0.0809914,2.26237,0.00121308,0.00616806
2.3,2.3,0,0,2.31161,0.0410297,2.29858,0.0279009,0.031088
2.31,2.31,0,0,2.32249,0.0322855,2.30854,0.0282107,0.0312123
2.32,2.32,0,0,2.26772,-0.00014886,2.31851,0.028522,0.031102
2.33,2.33,0,0,2.36036,0.00963157,2.32849,0.0288324,0.0311764
2.34,2.34,0,0,2.34976,-0.00500172,2.33847,0.0291437,0.0312141
2.35,2.35,0,0,2.32154,-0.0648554,2.34845,0.0294552,0.0313656
2.36,2.36,0,0,2.34187,-0.00227452,2.35844,0.0297686,0.0313725
2.37,2.37,0,0,2.37707,-0.000547499,2.3684,0.0300811,0.0314117
2.38,2.38,0,0,2.35606,-0.00434192,2.37837,0.0303945,0.0312132
2.39,2.39,0,0,2.38366,-0.00352202,2.38833,0.0307055,0.031306
2.4,2.4,0,0,2.39781,-0.0320105,2.39797,-0.0112338,-0.00850396
2.41,2.41,0,0,2.37779,0.0109282,2.40792,-0.0113184,-0.00839962
2.42,2.42,0,0,2.38657,-0.0110694,2.41788,-0.011402,-0.00859099
2.43,2.43,0,0,2.39363,0.0340646,2.42783,-0.0114876,-0.00836526
2.44,2.44,0,0,2.45117,0.0479737,2.4378,-0.011571,-0.00827442
2.45,2.45,0,0,2.4338,0.00942159,2.44778,-0.0116535,-0.008425
2.46,2.46,0,0,2.44727,-0.0282045,2.45775,-0.0117376,-0.00834991
2.47,2.47,0,0,2.47488,-0.0256892,2.46773,-0.0118209,-0.00818543
2.48,2.48,0,0,2.4979,0.0230859,2.47771,-0.0119026,-0.00828398
2.49,2.49,0,0,2.45119,0.0323386,2.48769,-0.0119853,-0.00828114
2.5,2.5,0,0,2.5206,-0.0663968,2.51304,-0.0484875,-0.042449
2.51,2.51,0,0,2.53321,0.0336653,2.52316,-0.0489177,-0.0423939
2.52,2.52,0,0,2.51137,-0.0282477,2.53329,-0.0493473,-0.0427053
2.53,2.53,0,0,2.51818,-0.0123548,2.54342,-0.0497799,-0.0427167
2.54,2.54,0,0,2.52387,0.00910334,2.55354,-0.0502126,-0.0425865
2.55,2.55,0,0,2.59818,0.0468738,2.56366,-0.0506439,-0.0426315
2.56,2.56,0,0,2.56245,0.0391967,2.57379,-0.051076,-0.0425246
2.57,2.57,0,0,2.55252,-0.00513748,2.58391,-0.0515066,-0.0424246
2.58,2.58,0,0,2.59367,-0.0324511,2.59402,-0.0519358,-0.0422964
2.59,2.59,0,0,2.60069,0.00146025,2.60414,-0.0523639,-0.0421864
2.6,2.6,0,0,2.61286,0.00591901,2.61333,-0.0134063,-0.00491318
2.61,2.61,0,0,2.52858,-0.023985,2.62344,-0.0134559,-0.00511342
2.62,2.62,0,0,2.61177,-0.0299794,2.63355,-0.0135076,-0.00507678
2.63,2.63,0,0,2.59792,-0.0580956,2.64364,-0.0135589,-0.00514887
